Курс;Категория;Всего;Размер резервной копии
А.П Яковлева Т.М;Общепрофессиональный цикл;271MB;0MB
Математика П16 2022;Базовые дисциплины;265MB;0MB
БЖД Ю20;Базовые дисциплины;239MB;0MB
МДК 03.01 16 группа (Филиал);Базовые дисциплины;189MB;0MB
ОП;Базовые дисциплины;182MB;0MB
МДК.02.02 НП-31 Лебедева.И.Д;Профессиональный Модуль;174MB;0MB
Информатика 1 курс;Базовые дисциплины;174MB;0MB
ДМ;Базовые дисциплины;169MB;0MB
Русский язык, Литература. 2020;Базовые дисциплины;167MB;0MB
А Ю-10 Пронина.С.В;Общеобразовательные дисциплины ;162MB;0MB
Админ.Право Яковлева Т.М.;Общепрофессиональный цикл;156MB;0MB
Ф Пронина С.В.;Общеобразовательные дисциплины ;147MB;0MB
Техническая механика с основами технических измерений 16 группа (Филиал);Базовые дисциплины;142MB;0MB
ПСАТОиР У-29 Хрусталева.С.Н;Профильные дисциплины;140MB;0MB
ЭВМ П26;Базовые дисциплины;113MB;0MB
МДК 04.01;Базовые дисциплины;95MB;0MB
Ф 18 Арцыбашева И.И.;Общеобразовательные дисциплины ;91MB;0MB
Экология;Базовые дисциплины;89MB;0MB
Право;Базовые дисциплины;88MB;0MB
Математика Ю-10;Базовые дисциплины;84MB;0MB
ЭВМ ЗО;Базовые дисциплины;83MB;0MB
МДК.01.02 НП21 Лебедева.И.Д;Профессиональный Модуль;80MB;0MB
ОДБ. 04. «Обществознание» (Филиал);Базовые дисциплины;78MB;0MB
М У-19 Ткачёва.Ю.С;Общеобразовательные дисциплины ;76MB;0MB
МДК 01.03 Крылов А.Б.;Базовые дисциплины;73MB;0MB
Экология(Филиал);Базовые дисциплины;64MB;0MB
МДК 05.01;Базовые дисциплины;63MB;0MB
ИЯ У-39 Эдиберидзе.Л.Г;Общеобразовательные дисциплины ;62MB;0MB
ОП 01 Инженерная графика;Базовые дисциплины;59MB;0MB
ОснЭколПрава Яковлева Т.М;Общепрофессиональный цикл;58MB;0MB
МДК.01.02 Петрова.Г.А;Профессиональный Модуль;57MB;0MB
Химия 18 2021;Базовые дисциплины;56MB;0MB
Литература (Филиал);Базовые дисциплины;55MB;0MB
Русский язык Э-12, П-16 ;Базовые дисциплины;53MB;0MB
И Михайлов.А.С;Общеобразовательные дисциплины ;52MB;0MB
Английский язык;Базовые дисциплины;51MB;0MB
Компьютерная графика ;Базовые дисциплины;51MB;0MB
МДК.01.03 Хрусталёва.С.Н;Профессиональный Модуль;48MB;0MB
М.Д.К.01.02;Базовые дисциплины;47MB;0MB
МДК 01.01;Базовые дисциплины;47MB;0MB
Административное право;Базовые дисциплины;45MB;0MB
Электротехника НП-25;Базовые дисциплины;42MB;0MB
ТГП;Базовые дисциплины;41MB;0MB
Философия;Базовые дисциплины;41MB;0MB
Английский Язык (Филиал);Базовые дисциплины;41MB;0MB
МДК.01.01 Петрова Г.А;Профессиональный Модуль;39MB;0MB
лектрические машины и аппараты;Базовые дисциплины;38MB;0MB
ДЭ;Базовые дисциплины;38MB;0MB
Основы калькуляции;Базовые дисциплины;38MB;0MB
Обществознание для профессий среднего профессионального образования (базовый уровень);Базовые дисциплины;36MB;0MB
МДК.03.03 У-49 Хрусталева.С.Н;Профессиональный Модуль;36MB;0MB
Гео;Базовые дисциплины;35MB;0MB
МДК 01.01 Монтаж промышленного оборудования и контроль за ним;Базовые дисциплины;35MB;0MB
ИнЯз П-16 Эдиберидзе Л.Г.;Общеобразовательные дисциплины ;35MB;0MB
ОЭП Яковлева Т.М..;Общепрофессиональный цикл;34MB;0MB
Диплом Э-42;Базовые дисциплины;34MB;0MB
МДК 01.02  29 группа;Базовые дисциплины;34MB;0MB
МПО;Базовые дисциплины;33MB;0MB
ИТ Ю-30;Базовые дисциплины;33MB;0MB
КП;Базовые дисциплины;32MB;0MB
М П-13 Ткачева.Ю.С;Общеобразовательные дисциплины ;32MB;0MB
ТСР У-39 Леонова.Н.В;Профильные дисциплины;32MB;0MB
Математика (Филиал);Базовые дисциплины;31MB;0MB
А П-16 Пронина С.В.;Общеобразовательные дисциплины ;31MB;0MB
ИнЯз НП-15 Эдиберидзе Л.Г.;Общеобразовательные дисциплины ;30MB;0MB
М С-17 Ткачева.Ю.С;Общеобразовательные дисциплины ;30MB;0MB
ОПБД;Базовые дисциплины;28MB;0MB
МДК 03.01 Повар;Базовые дисциплины;27MB;0MB
ИТвПД Плискин В.А.;Общепрофессиональный цикл;27MB;0MB
Слесарное дело (Филиал);Базовые дисциплины;27MB;0MB
МДК 01.04;Базовые дисциплины;26MB;0MB
УП 03 П-26;Базовые дисциплины;26MB;0MB
Ф 26 Арцыбашева И.И.;Общеобразовательные дисциплины ;25MB;0MB
ПРОДАВЕЦ-КАССИР;Базовые дисциплины;25MB;0MB
Русский язык 3;Базовые дисциплины;25MB;0MB
ОПиП С-27 Румянцева.О.В;Общепрофессиональный цикл;24MB;0MB
Математика НП-21;Базовые дисциплины;24MB;0MB
Русс.яз;Базовые дисциплины;24MB;0MB
ИТ ЗО;Базовые дисциплины;24MB;0MB
МДК 01.02;Базовые дисциплины;24MB;0MB
Математика (Пронина С.В.) ;Базовые дисциплины;23MB;0MB
ФКиН У-39 Рахимова.Р.В;Профильные дисциплины;23MB;0MB
МДК.01.01 У-39 Рахимова.Р.В;Профессиональный Модуль;23MB;0MB
Мастер по лесному хозяйству МДК 02.02 (Филиал);Базовые дисциплины;22MB;0MB
Основы микробиологии,физиологии питания, санитарии и гигиены;Базовые дисциплины;22MB;0MB
ТСИ;Базовые дисциплины;21MB;0MB
МДК 01.01 С-27 ;Базовые дисциплины;21MB;0MB
Техническая механика ;Базовые дисциплины;21MB;0MB
Литер;Базовые дисциплины;21MB;0MB
Ф НП-15 Пронина С.В.;Общеобразовательные дисциплины ;21MB;0MB
УП.01.46.2021;Профильные дисциплины;20MB;0MB
Математика Э-22 Пронина.С.В;Общеобразовательные дисциплины ;20MB;0MB
Естествознание (Токар М.Й.) ;Базовые дисциплины;20MB;0MB
МДК 03.01 ;Базовые дисциплины;19MB;0MB
НП-31М.Д.К.02.02. ;Базовые дисциплины;18MB;0MB
УИД;Базовые дисциплины;18MB;0MB
Экономика организации;Базовые дисциплины;17MB;0MB
Основы учебно исследовательской деятельности 1;Базовые дисциплины;17MB;0MB
Элеkтротехника;Базовые дисциплины;16MB;0MB
Процессы формообразования и инструменты;Базовые дисциплины;16MB;0MB
Электротехника;Базовые дисциплины;16MB;0MB
 Экономика ;Базовые дисциплины;15MB;0MB
Информатика 2021;Базовые дисциплины;15MB;0MB
МДК 01.03 РМП;Базовые дисциплины;15MB;0MB
МДК 03.01;Базовые дисциплины;14MB;0MB
МДК;Базовые дисциплины;14MB;0MB
Математика 2;Базовые дисциплины;14MB;0MB
Инж.граф. - мет.указ.;Базовые дисциплины;14MB;0MB
Русский язык 1 курс ;Базовые дисциплины;14MB;0MB
МДК 01.01 ЗО;Базовые дисциплины;13MB;0MB
ИЯ С-37 2021;Базовые дисциплины;13MB;0MB
Материаловедение (Филиал);Базовые дисциплины;13MB;0MB
 УП 03 НП-31;Базовые дисциплины;12MB;0MB
Электротехника А-23 группа (Филиал);Базовые дисциплины;12MB;0MB
дистанционное обучение МДК 01.01 20гр;Базовые дисциплины;12MB;0MB
Основы экономики;Базовые дисциплины;12MB;0MB
Метрология З/О;Базовые дисциплины;11MB;0MB
УП03 Приготовление,оформление и подготовка к реализации холодных блюд, кулинарных изделий, закусок р;Базовые дисциплины;11MB;0MB
МДК 03.02;Базовые дисциплины;11MB;0MB
Архитектура;Базовые дисциплины;11MB;0MB
Гражданское право;Базовые дисциплины;11MB;0MB
УП 2;Базовые дисциплины;10MB;0MB
Э-32 МДК 01.02.;Базовые дисциплины;10MB;0MB
Иностранный язык ЗО ;Базовые дисциплины;10MB;0MB
ОЭ Э-22 Леонова.Н.В;Профильные дисциплины;10MB;0MB
Инженерная графика;Базовые дисциплины;10MB;0MB
